name,address,lng,lat
凌霄廊架,上海市闵行区沪闵路249号闵行公园,121.430926,31.015446
浦江第一湾公园,上海市闵行区吴泾镇紫星路与紫光路交叉口东侧,121.477379,31.019228
浦江第一湾公园-景观台,上海市闵行区紫光路与紫星路交叉路口往东南约210米浦江第一湾公园,121.481621,31.020223
兰香湖-望湖石,上海市闵行区兰香湖边,121.479203,31.027699
华东师大美术馆(闵行校区),上海市闵行区东川路500号华东师范大学闵行校区,121.46033,31.038538
浦江第一湾公园,上海市闵行区吴泾镇紫星路与紫光路交叉口东侧,121.477379,31.019228
浦江第一湾公园-景观台,上海市闵行区紫光路与紫星路交叉路口往东南约210米浦江第一湾公园,121.481621,31.020223
兰香湖-望湖石,上海市闵行区兰香湖边,121.479203,31.027699
情人桥,上海市闵行区浦星公路上海浦江郊野公园内,121.494436,31.038735
儿童游乐场,上海市闵行区新港河路与永颂路交叉口东150米,121.509408,31.03137
儿童游乐场,上海市闵行区新港河路与永颂路交叉口东150米,121.509408,31.03137
旌表亭,上海市闵行区新汇路与闸航公路交叉路口往东南约190米,121.560413,31.023967
施南宅,上海市闵行区三鲁公路浦江镇阳光家园东侧约100米,121.540043,31.038459
旌表亭,上海市闵行区新汇路与闸航公路交叉路口往东南约190米,121.560413,31.023967
松江中央公园,上海市松江区松江园中路与南青路交叉口,121.233076,31.042061
上海中国留学生博物馆,上海市松江区茸梅路1177弄7号,121.251575,31.054889
思贤公园,上海市松江区思贤路与人民北路交叉口东北角,121.229875,31.036602
方松体育公园,方松街道新松江路290号,121.238787,31.045067
双拥林,上海市松江区南青路699号,121.232478,31.041749
其昌公园,上海市松江区嘉松南路与南期昌路交叉口东北方向180米,121.238991,31.030612
茭菱公园,上海市松江区茭菱路时亦商务大厦西北侧约100米,121.254925,31.044812
国家生态水利风景区大邱泾,上海市松江区文翔路1550号上海外国语大学松江校区内,121.234183,31.051964
上海外国语大学(松江校区)-世界语言博物馆,上海市松江区文翔路1550号上海外国语大学松江校区,121.229724,31.050585
南华苑禅修地,上海市五昆路116号,121.254645,31.037495
茭菱公园,上海市松江区茭菱路时亦商务大厦西北侧约100米,121.254925,31.044812
月季园,上海市松江区华军路一区1号,121.269536,31.052099
阡陌云间,上海市松江区明南路819号1幢,121.266545,31.052201
南华苑禅修地,上海市五昆路116号,121.254645,31.037495
月季园,上海市松江区华军路一区1号,121.269536,31.052099
晨星生态绿地,上海市松江区茜蒲路晨星小区-西区东北侧约30米,121.318638,31.054857
中泾天主堂,上海市松江区新兴村南新224号,121.336135,31.032065
晨星生态绿地,上海市松江区茜蒲路晨星小区-西区东北侧约30米,121.318638,31.054857
中泾天主堂,上海市松江区新兴村南新224号,121.336135,31.032065
马桥公园,上海市闵行区富岩路298弄15号,121.376495,31.036834
白沃净寺,上海市闵行区马桥镇昆阳路3251弄100号,121.373084,31.049465
马桥天主堂,上海市闵行区马桥镇东街25号,121.380805,31.035674
万寿庵,上海市闵行区马桥镇东街29号,121.380188,31.035338
天主教上海教区杨家圣母圣诞堂,上海市闵行区昆阳路2038弄385号,121.368976,31.029529
马桥古文化遗址公园,上海市闵行区北松公路888号,121.398213,31.040057
俞塘民众教育纪念馆,上海市闵行区俞塘村1弄2号临,121.38874,31.038665
马桥天主堂,上海市闵行区马桥镇东街25号,121.380805,31.035674
白沃净寺,上海市闵行区马桥镇昆阳路3251弄100号,121.373084,31.049465
万寿庵,上海市闵行区马桥镇东街29号,121.380188,31.035338
钮氏镕才堂,上海市闵行区俞塘村1弄2号临,121.388751,31.038661
马桥古文化遗址公园,上海市闵行区北松公路888号,121.398213,31.040057
金塔公园,沪闵路2422弄(北桥金塔新村对面),121.417064,31.044538
俞塘民众教育纪念馆,上海市闵行区俞塘村1弄2号临,121.38874,31.038665
耶稣堂,上海市闵行区北桥镇北吴路1500号,121.421961,31.051321
安全文化长廊,上海市闵行区金塔路599号临金塔公园,121.416342,31.044457
消防文化浮雕,上海市闵行区金塔路599号临金塔公园,121.416237,31.044306
誓师亭,上海市闵行区金塔路599号临金塔公园,121.417031,31.044475
消防石雕,上海市闵行区金塔路599号临金塔公园,121.41672,31.044286
颛桥剪纸雕塑,上海市闵行区金塔路599号临金塔公园,121.417744,31.044718
钮氏镕才堂,上海市闵行区俞塘村1弄2号临,121.388751,31.038661
上海交通大学-植物园,上海市闵行区学森路与纬七路交叉口东150米,121.442594,31.034103
金塔公园,沪闵路2422弄(北桥金塔新村对面),121.417064,31.044538
思源湖,上海市闵行区东川路800号上海交通大学闵行校区,121.435963,31.027356
耶稣堂,上海市闵行区北桥镇北吴路1500号,121.421961,31.051321
上海交通大学-园林植物标本园(闵行校区),上海市闵行区东川路800号上海交通大学闵行校区(新图书馆后),121.441867,31.034106
颛桥剪纸雕塑,上海市闵行区金塔路599号临金塔公园,121.417744,31.044718
安全文化长廊,上海市闵行区金塔路599号临金塔公园,121.416342,31.044457
誓师亭,上海市闵行区金塔路599号临金塔公园,121.417031,31.044475
消防石雕,上海市闵行区金塔路599号临金塔公园,121.41672,31.044286
消防文化浮雕,上海市闵行区金塔路599号临金塔公园,121.416237,31.044306
上海交通大学-植物园,上海市闵行区学森路与纬七路交叉口东150米,121.442594,31.034103
古秦淮,上海市闵行区莲花南路华东师范大学闵行永德实验小学南侧约250米,121.451697,31.043884
思源湖,上海市闵行区东川路800号上海交通大学闵行校区,121.435963,31.027356
蔷薇园,上海市闵行区思源北路上海交通大学(闵行校区),121.448495,31.034777
上海交通大学-园林植物标本园(闵行校区),上海市闵行区东川路800号上海交通大学闵行校区(新图书馆后),121.441867,31.034106
华东师大美术馆(闵行校区),上海市闵行区东川路500号华东师范大学闵行校区,121.46033,31.038538
吴泾甘露寺,上海市闵行区曹家塘路100-6号临,121.454363,31.045258
上海交通大学-程及美术馆(闵行校区),上海市闵行区东川路800号,121.435275,31.027408
古秦淮,上海市闵行区莲花南路华东师范大学闵行永德实验小学南侧约250米,121.451697,31.043884
星乐公园,上海市闵行区金家塘路万科花园小城东南侧约70米,121.478732,31.043499
吴泾福音堂,上海市闵行区龙吴路5330号,121.473524,31.054351
蔷薇园,上海市闵行区思源北路上海交通大学(闵行校区),121.448495,31.034777
华东师大美术馆(闵行校区),上海市闵行区东川路500号华东师范大学闵行校区,121.46033,31.038538
兰香湖-望湖石,上海市闵行区兰香湖边,121.479203,31.027699
涟漪湖,上海市闵行区贡山路吴泾公园(氯碱小区东北侧约100米),121.483706,31.052712
荷花池,上海市闵行区贡山路吴泾公园(氯碱小区东北侧约100米),121.483613,31.052117
环碧岛,上海市闵行区贡山路吴泾公园(氯碱小区东北侧约100米),121.483878,31.05244
吴泾甘露寺,上海市闵行区曹家塘路100-6号临,121.454363,31.045258
滨江漫步区,上海市闵行区浦星公路上海浦江郊野公园内,121.492305,31.056002
吴泾公园,上海市闵行区剑川路2号(吴泾渡口西北侧),121.484247,31.052605
情人桥,上海市闵行区浦星公路上海浦江郊野公园内,121.494436,31.038735
星乐公园,上海市闵行区金家塘路万科花园小城东南侧约70米,121.478732,31.043499
红叶桥,上海市闵行区浦星公路上海浦江郊野公园内,121.493896,31.040519
兰香湖-望湖石,上海市闵行区兰香湖边,121.479203,31.027699
吴泾福音堂,上海市闵行区龙吴路5330号,121.473524,31.054351
桂雨桥,上海市闵行区浦星公路上海浦江郊野公园内,121.494235,31.043025
涟漪湖,上海市闵行区贡山路吴泾公园(氯碱小区东北侧约100米),121.483706,31.052712
爱丘山,上海市闵行区贡山路吴泾公园(氯碱小区东北侧约100米),121.484069,31.053194
